"","analyte","community","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"32","Cr","Tucson",307,0.011,52.4,0.344,1.12,4.27,0.386,3.05,"307: 1.12 (4.27); 0.344 [0.011 - 52.4]; 0.386 (3.05)"
"33","Cu","Dewey-Humboldt",53,0.238,133,7.46,15,23.8,6.58,3.88,"53: 15 (23.8); 7.46 [0.238 - 133]; 6.58 (3.88)"
"34","Cu","Globe/Miami",123,0.921,2740,24.1,98.5,302,30.1,3.81,"123: 98.5 (302); 24.1 [0.921 - 2740]; 30.1 (3.81)"
"35","Cu","Hayden/Winkelman",88,0.469,3160,65.5,152,363,56.2,4.42,"88: 152 (363); 65.5 [0.469 - 3160]; 56.2 (4.42)"
"36","Cu","Tucson",307,0.224,906,17.8,38,79.3,18.7,3.16,"307: 38 (79.3); 17.8 [0.224 - 906]; 18.7 (3.16)"
"37","Fe","Dewey-Humboldt",53,4.39,455,36.8,74.8,99.1,39.9,3.05,"53: 74.8 (99.1); 36.8 [4.39 - 455]; 39.9 (3.05)"
"38","Fe","Globe/Miami",123,5.56,1600,38.2,79.4,175,41.7,2.64,"123: 79.4 (175); 38.2 [5.56 - 1600]; 41.7 (2.64)"
"39","Fe","Hayden/Winkelman",88,2.5,548,33.3,66.7,93.1,36.7,2.92,"88: 66.7 (93.1); 33.3 [2.5 - 548]; 36.7 (2.92)"
"40","Fe","Tucson",307,1.7,1640,36.3,80.3,157,40.8,2.82,"307: 80.3 (157); 36.3 [1.7 - 1640]; 40.8 (2.82)"
"41","Mn","Dewey-Humboldt",53,0.13,313,4.05,20.4,53.4,4.26,5.48,"53: 20.4 (53.4); 4.05 [0.13 - 313]; 4.26 (5.48)"
"42","Mn","Globe/Miami",123,0.149,612,11,49.5,95.6,11.9,6.11,"123: 49.5 (95.6); 11 [0.149 - 612]; 11.9 (6.11)"
"43","Mn","Hayden/Winkelman",88,0.168,248,8.58,16.7,31.1,7.26,4,"88: 16.7 (31.1); 8.58 [0.168 - 248]; 7.26 (4)"
"44","Mn","Tucson",307,0.0668,471,3.39,18.2,45.8,4.43,4.96,"307: 18.2 (45.8); 3.39 [0.0668 - 471]; 4.43 (4.96)"
"45","Mo","Dewey-Humboldt",53,0.016,11.7,0.156,0.753,2.19,0.202,3.76,"53: 0.753 (2.19); 0.156 [0.016 - 11.7]; 0.202 (3.76)"
"46","Mo","Globe/Miami",123,0.066,5.48,0.46,0.804,0.955,0.522,2.39,"123: 0.804 (0.955); 0.46 [0.066 - 5.48]; 0.522 (2.39)"
