"","analyte","community","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"33","Ni","Dewey-Humboldt",53,0.0571,59.7,0.693,2.49,8.21,0.851,3.32,"53: 2.49 (8.21); 0.693 [0.0571 - 59.7]; 0.851 (3.32)"
"34","Ni","Globe/Miami",123,0.0841,466,0.762,8.62,46.6,1.13,4.42,"123: 8.62 (46.6); 0.762 [0.0841 - 466]; 1.13 (4.42)"
"35","Ni","Hayden/Winkelman",88,0.083,4.46,0.484,0.775,0.783,0.56,2.16,"88: 0.775 (0.783); 0.484 [0.083 - 4.46]; 0.56 (2.16)"
"36","Ni","Tucson",307,0.0611,17.4,0.775,1.35,1.95,0.836,2.45,"307: 1.35 (1.95); 0.775 [0.0611 - 17.4]; 0.836 (2.45)"
"37","Pb","Dewey-Humboldt",53,0.0142,3.74,0.212,0.714,0.908,0.321,3.79,"53: 0.714 (0.908); 0.212 [0.0142 - 3.74]; 0.321 (3.79)"
"38","Pb","Globe/Miami",123,0.0355,27.2,0.596,1.77,3.62,0.661,3.75,"123: 1.77 (3.62); 0.596 [0.0355 - 27.2]; 0.661 (3.75)"
"39","Pb","Hayden/Winkelman",88,0.0319,23.6,0.772,2.92,5.35,0.947,4.37,"88: 2.92 (5.35); 0.772 [0.0319 - 23.6]; 0.947 (4.37)"
"40","Pb","Tucson",307,0.013,350,0.625,4.24,25.6,0.744,4.4,"307: 4.24 (25.6); 0.625 [0.013 - 350]; 0.744 (4.4)"
"41","Zn","Dewey-Humboldt",53,1.4,3640,35.4,204,523,51.9,4.93,"53: 204 (523); 35.4 [1.4 - 3640]; 51.9 (4.93)"
"42","Zn","Globe/Miami",123,3.94,4170,112,324,639,104,4.74,"123: 324 (639); 112 [3.94 - 4170]; 104 (4.74)"
"43","Zn","Hayden/Winkelman",88,5.95,8450,56,265,922,69.6,4.34,"88: 265 (922); 56 [5.95 - 8450]; 69.6 (4.34)"
"44","Zn","Tucson",307,2.4,13300,105,504,1550,121,4.22,"307: 504 (1550); 105 [2.4 - 13300]; 121 (4.22)"
