"","analyte","community","season","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"32","Be","Chiricahua","Winter",19,0.016,0.62,0.092,0.185,0.232,0.0955,3.23,"19: 0.185 (0.232); 0.092 [0.016 - 0.62]; 0.0955 (3.23)"
"33","Be","Grand Canyon","Monsoon",16,0.016,0.62,0.101,0.31,0.284,0.16,3.86,"16: 0.31 (0.284); 0.101 [0.016 - 0.62]; 0.16 (3.86)"
"34","Be","Grand Canyon","Winter",20,0.016,0.62,0.0939,0.267,0.267,0.145,3.4,"20: 0.267 (0.267); 0.0939 [0.016 - 0.62]; 0.145 (3.4)"
"35","Be","Oliver Knoll","Monsoon",16,0.016,0.62,0.069,0.297,0.295,0.132,4.34,"16: 0.297 (0.295); 0.069 [0.016 - 0.62]; 0.132 (4.34)"
"36","Be","Oliver Knoll","Winter",16,0.016,0.62,0.092,0.27,0.281,0.121,4.4,"16: 0.27 (0.281); 0.092 [0.016 - 0.62]; 0.121 (4.4)"
"37","Be","Organ Pipe","Monsoon",12,0.016,0.62,0.62,0.429,0.283,0.236,4.51,"12: 0.429 (0.283); 0.62 [0.016 - 0.62]; 0.236 (4.51)"
"38","Be","Organ Pipe","Winter",13,0.016,0.62,0.092,0.233,0.27,0.107,3.94,"13: 0.233 (0.27); 0.092 [0.016 - 0.62]; 0.107 (3.94)"
"39","Be","Petrified Forest","Monsoon",12,0.052,0.62,0.363,0.348,0.284,0.212,3.15,"12: 0.348 (0.284); 0.363 [0.052 - 0.62]; 0.212 (3.15)"
"40","Be","Petrified Forest","Winter",14,0.016,0.62,0.092,0.19,0.235,0.102,3.13,"14: 0.19 (0.235); 0.092 [0.016 - 0.62]; 0.102 (3.13)"
"41","Cd","Chiricahua","Monsoon",24,0.00616,0.116,0.0606,0.0556,0.0217,0.0503,1.71,"24: 0.0556 (0.0217); 0.0606 [0.00616 - 0.116]; 0.0503 (1.71)"
"42","Cd","Chiricahua","Winter",19,0.0037,0.116,0.021,0.0388,0.0369,0.0237,2.94,"19: 0.0388 (0.0369); 0.021 [0.0037 - 0.116]; 0.0237 (2.94)"
"43","Cd","Grand Canyon","Monsoon",16,0.013,0.127,0.063,0.0596,0.0292,0.052,1.79,"16: 0.0596 (0.0292); 0.063 [0.013 - 0.127]; 0.052 (1.79)"
"44","Cd","Grand Canyon","Winter",20,0.00681,1.12,0.038,0.103,0.245,0.0352,3.8,"20: 0.103 (0.245); 0.038 [0.00681 - 1.12]; 0.0352 (3.8)"
"45","Cd","Oliver Knoll","Monsoon",16,0.00973,0.116,0.063,0.0577,0.0231,0.0522,1.7,"16: 0.0577 (0.0231); 0.063 [0.00973 - 0.116]; 0.0522 (1.7)"
"46","Cd","Oliver Knoll","Winter",16,0.0037,0.111,0.063,0.0471,0.0357,0.0311,2.88,"16: 0.0471 (0.0357); 0.063 [0.0037 - 0.111]; 0.0311 (2.88)"
"47","Cd","Organ Pipe","Monsoon",12,0.0037,0.152,0.063,0.0592,0.0363,0.0441,2.73,"12: 0.0592 (0.0363); 0.063 [0.0037 - 0.152]; 0.0441 (2.73)"
"48","Cd","Organ Pipe","Winter",13,0.0037,0.101,0.013,0.0393,0.0353,0.0232,3.17,"13: 0.0393 (0.0353); 0.013 [0.0037 - 0.101]; 0.0232 (3.17)"
"49","Cd","Petrified Forest","Monsoon",12,0.042,0.14,0.063,0.0784,0.0331,0.0726,1.49,"12: 0.0784 (0.0331); 0.063 [0.042 - 0.14]; 0.0726 (1.49)"
