,mlod.name,sample.name,site,community,type,samplings,period,season,year,ssnyear,EC,Be,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sn,Sb,Ba,Pb,pollution_index,pollution_index_selected_analytes,pli_contaminants
16,IW.1.6.DM,T101IWA14-20180925,T101,Tucson,A,Last Monsoon,Last,Monsoon,Water Year 1,Monsoon Water Year 1,NA,0.348561522,0.53050926,2.230069454,0.732335829,1.034381185,0.525374531,1.891437938,4.636718715,12.66107538,5.888102586,1.903771393,0.103798979,14.86700045,0.038829703,2.015855888,1.637439305,0.894024791,6.98599199,40.47028496,1.62557504,1.844728105,2.686164492
17,IW.2.5.DM,T107IWA23-20190730,T107,Tucson,A,First Monsoon,First,Monsoon,Water Year 2,Monsoon Water Year 2,96.47,0.460853474,1.467781322,6.770040222,108.9562676,7.86356725,1.325349309,4.510483082,5.914918087,27.09080067,8.099478753,5.057587233,0.262897975,23.13053398,0.363176511,2.493836528,15.32308259,1.121868601,4.575620485,40.02582789,4.508412262,4.737418667,6.918201638
18,IW.1.7.DM,G408IWA14-20180918,G408,Globe/Miami,A,Last Monsoon,Last,Monsoon,Water Year 1,Monsoon Water Year 1,40.59,1.236124412,1.03193615,1.08332581,0.279668282,4.344684756,0.190318909,3.610772063,1.673777552,27.65185275,39.03285265,3.587164581,0.119790034,10.00128798,0.224916284,14.14507234,1.407639585,1.166293378,11.29049211,38.64307258,2.425124771,2.972304237,5.10965757
19,IW.2.5.DM,G428IWA23-20190730,G428,Globe/Miami,A,First Monsoon,First,Monsoon,Water Year 2,Monsoon Water Year 2,300.4,83.02300889,230.1215663,8.759121909,14.79642748,88.61056925,39.44520642,423.6139381,171.0421191,101.6840112,62.78916596,14.22457984,0.388631789,15.21046251,0.192785387,401.9318642,1.342514158,3.224132911,17.0954392,37.21093315,22.95395518,42.60746391,65.76277373
20,IW.1.7.DM,H221IWA14-20180911,H221,Hayden/Winkelman,A,Last Monsoon,Last,Monsoon,Water Year 1,Monsoon Water Year 1,22.15,0.620983623,0.767267071,0.633581459,12.29708715,3.72888032,0.136818791,6.057713395,1.231457092,21.30394917,52.35936764,3.290857749,0.091397052,2.78694926,2.467263483,8.968122325,1.442063025,0.60593107,8.742703427,36.00102225,2.606530555,3.186076362,5.858011487
21,IW.2.4.DM,G401IWA23-20190702,G401,Globe/Miami,A,First Monsoon,First,Monsoon,Water Year 2,Monsoon Water Year 2,96.18,10.83480393,20.68947076,0.825924016,1.067937768,24.80244596,2.909655556,85.79630645,28.66282745,93.29494668,63.45265972,1.703764282,0.84756021,5.667123935,0.467358513,92.44151215,129.2274543,1.347043112,17.40369934,34.59357488,9.863179047,12.75119963,18.66048205
22,IW.1.2.DM,T157IWA11-20180116,T157,Tucson,A,First Winter,First,Winter,Water Year 1,Winter Water Year 1,196.4,0.759203147,5.389021581,4.160955953,2.709351463,3.943134859,1.684182761,9.883189223,12.68966329,39.72783096,14.75869055,3.868656071,0.214090394,22.2064575,0.240300169,7.047186576,0.650416942,4.463450707,20.14090088,33.92688928,4.356459047,5.228917164,7.750077508
23,IW.2.4.DM,G400IWA23-20190702,G400,Globe/Miami,A,First Monsoon,First,Monsoon,Water Year 2,Monsoon Water Year 2,182.1,14.51213712,36.08946361,1.968937199,2.563799197,47.46234654,3.595554508,134.5988132,46.97310559,29.97621139,15.78629675,4.427935215,0.548656643,13.20284501,0.467358513,151.7313912,9.85254673,1.60424922,15.88468248,33.75404487,10.51618991,14.25834582,21.73079768
24,IW.1.7.DM,H217IWA14-20180925,H217,Hayden/Winkelman,A,Last Monsoon,Last,Monsoon,Water Year 1,Monsoon Water Year 1,NA,0.259093138,9.966079027,1.072134428,0.385713504,1.843156597,2.690649224,4.000987637,2.610931403,100.2947394,2.870015099,34.03824729,0.130763167,23.30635384,0.34156118,18.81503051,59.04085132,2.983895923,75.76514439,33.53181634,4.647293459,4.835301505,7.081182651
25,IW.3.1.DM,H203IWA31-20191203,H203,Hayden/Winkelman,A,First Winter,First,Winter,Water Year 3,Winter Water Year 3,49.34,0.766871866,2.654498135,1.19747791,0.73940551,2.219166218,7.804808079,4.53945105,4.948333912,845.5856422,43.79867981,3.385305552,0.113160433,5.115131344,0.765883763,3.21094832,9.00312509,1.889292313,3.699493153,33.08735927,3.988765048,4.800690084,6.457746456
