,analyte,community,n,AI,DW,FB,LDW,PB,DW,LDW,FB,PB,AI
32,Mn,Tucson,307,1.3,10,0.0,10,0.0,10%,10%,0.0%,0.0%,1.3%
,Mn,Total,577,2.9,13,0.0,13,0.0,13%,13%,0.0%,0.0%,2.9%
33,Mo,Dewey-Humboldt,53,3.8,NA,NA,NA,NA,no recommended level,no recommended level,no recommended level,no recommended level,3.8%
34,Mo,Globe/Miami,124,0.0,NA,NA,NA,NA,no recommended level,no recommended level,no recommended level,no recommended level,0.0%
35,Mo,Hayden/Winkelman,93,5.4,NA,NA,NA,NA,no recommended level,no recommended level,no recommended level,no recommended level,5.4%
36,Mo,Tucson,307,3.6,NA,NA,NA,NA,no recommended level,no recommended level,no recommended level,no recommended level,3.6%
,Mo,Total,577,3.1,NA,NA,NA,NA,no recommended level,no recommended level,no recommended level,no recommended level,3.1%
37,Ni,Dewey-Humboldt,53,0.0,0.0,0.0,NA,0.0,0.0%,no recommended level,0.0%,0.0%,0.0%
38,Ni,Globe/Miami,124,1.6,1.6,0.0,NA,0.0,1.6%,no recommended level,0.0%,0.0%,1.6%
39,Ni,Hayden/Winkelman,93,0.0,0.0,0.0,NA,0.0,0.0%,no recommended level,0.0%,0.0%,0.0%
40,Ni,Tucson,307,0.0,0.0,0.0,NA,0.0,0.0%,no recommended level,0.0%,0.0%,0.0%
,Ni,Total,577,0.35,0.35,0.0,NA,0.0,0.35%,no recommended level,0.0%,0.0%,0.35%
41,Pb,Dewey-Humboldt,53,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
42,Pb,Globe/Miami,124,0.0,2.4,2.4,0.0,2.4,2.4%,0.0%,2.4%,2.4%,0.0%
43,Pb,Hayden/Winkelman,93,0.0,5.4,5.4,0.0,5.4,5.4%,0.0%,5.4%,5.4%,0.0%
44,Pb,Tucson,307,0.0,3.6,3.6,0.65,3.6,3.6%,0.65%,3.6%,3.6%,0.0%
,Pb,Total,577,0.0,3.3,3.3,0.35,3.3,3.3%,0.35%,3.3%,3.3%,0.0%
61,Sb,Dewey-Humboldt,53,NA,0.0,0.0,NA,0.0,0.0%,no recommended level,0.0%,0.0%,no recommended level
62,Sb,Globe/Miami,124,NA,0.0,0.0,NA,0.0,0.0%,no recommended level,0.0%,0.0%,no recommended level
63,Sb,Hayden/Winkelman,93,NA,3.2,0.0,NA,0.0,3.2%,no recommended level,0.0%,0.0%,no recommended level
64,Sb,Tucson,307,NA,1.6,0.0,NA,0.0,1.6%,no recommended level,0.0%,0.0%,no recommended level
,Sb,Total,577,NA,1.4,0.0,NA,0.0,1.4%,no recommended level,0.0%,0.0%,no recommended level
45,Se,Dewey-Humboldt,53,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
46,Se,Globe/Miami,124,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
47,Se,Hayden/Winkelman,93,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
48,Se,Tucson,307,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
,Se,Total,577,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%
49,V,Dewey-Humboldt,53,0.0,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,0.0%
50,V,Globe/Miami,124,0.0,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,0.0%
51,V,Hayden/Winkelman,93,0.0,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,0.0%
52,V,Tucson,307,0.0,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,0.0%
,V,Total,577,0.0,NA,NA,0.0,NA,no recommended level,0.0%,no recommended level,no recommended level,0.0%
53,Zn,Dewey-Humboldt,53,1.9,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,1.9%
54,Zn,Globe/Miami,124,4,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,4%
55,Zn,Hayden/Winkelman,93,1.1,1.1,0.0,0.0,0.0,1.1%,0.0%,0.0%,0.0%,1.1%
56,Zn,Tucson,307,5.9,3.3,0.0,0.0,0.0,3.3%,0.0%,0.0%,0.0%,5.9%
,Zn,Total,577,4.3,1.9,0.0,0.0,0.0,1.9%,0.0%,0.0%,0.0%,4.3%
